,Date,Favorite,UnderDog,PointSpread,OverUnder,AwayTeamMoneyLine,HomeTeamMoneyLine,Season,home_team,away_team,home_fav,date_match,home_abbr,away_abbr
43,"November 21, 2016 8:30 PM",at Raiders,Texans,-6.5,45.5,250,-300,2016,Raiders,Texans,True,2016-11-21,LV,HOU
44,"November 24, 2016 12:30 PM",at Lions,Vikings,-2.5,42.5,113,-125,2016,Lions,Vikings,True,2016-11-24,DET,MIN
45,"November 24, 2016 4:30 PM",at Cowboys,Commanders,-5.5,52.5,210,-250,2016,Cowboys,Commanders,True,2016-11-24,DAL,WAS
46,"November 24, 2016 8:30 PM",Steelers,at Colts,-8.5,50.0,-450,330,2016,Colts,Steelers,False,2016-11-24,IND,PIT
47,"November 27, 2016 1:00 PM",Giants,at Browns,-6.5,46.0,-286,230,2016,Browns,Giants,False,2016-11-27,CLE,NYG
48,"November 27, 2016 1:00 PM",at Dolphins,49ers,-7.0,44.5,290,-350,2016,Dolphins,49ers,True,2016-11-27,MIA,SF
49,"November 27, 2016 1:00 PM",Titans,at Bears,-6.5,42.0,-270,230,2016,Bears,Titans,False,2016-11-27,CHI,TEN
50,"November 27, 2016 1:00 PM",at Falcons,Cardinals,-4.0,49.0,160,-200,2016,Falcons,Cardinals,True,2016-11-27,ATL,ARI
51,"November 27, 2016 1:00 PM",at Ravens,Bengals,-3.5,41.5,160,-180,2016,Ravens,Bengals,True,2016-11-27,BAL,CIN
52,"November 27, 2016 1:00 PM",at Bills,Jaguars,-8.5,44.0,330,-400,2016,Bills,Jaguars,True,2016-11-27,BUF,JAX
53,"November 27, 2016 1:00 PM",Chargers,at Texans,-2.5,46.0,-140,120,2016,Texans,Chargers,False,2016-11-27,HOU,LAC
54,"November 27, 2016 1:00 PM",at Saints,Rams,-8.0,44.5,300,-400,2016,Saints,Rams,True,2016-11-27,NO,LAR
55,"November 27, 2016 4:05 PM",Seahawks,at Buccaneers,-5.0,46.0,-230,190,2016,Buccaneers,Seahawks,False,2016-11-27,TB,SEA
56,"November 27, 2016 4:25 PM",Patriots,at Jets,-9.0,48.0,-450,350,2016,Jets,Patriots,False,2016-11-27,NYJ,NE
57,"November 27, 2016 4:25 PM",at Raiders,Panthers,-3.5,48.0,157,-180,2016,Raiders,Panthers,True,2016-11-27,LV,CAR
58,"November 27, 2016 8:30 PM",at Broncos,Chiefs,-3.5,40.0,165,-190,2016,Broncos,Chiefs,True,2016-11-27,DEN,KC
59,"November 28, 2016 8:30 PM",at Eagles,Packers,-4.0,47.0,170,-200,2016,Eagles,Packers,True,2016-11-28,PHI,GB
60,"December 1, 2016 8:25 PM",Cowboys,at Vikings,-3.0,43.5,-155,135,2016,Vikings,Cowboys,False,2016-12-01,MIN,DAL
61,"December 4, 2016 1:00 PM",Broncos,at Jaguars,-3.5,38.5,-185,165,2016,Jaguars,Broncos,False,2016-12-04,JAX,DEN
62,"December 4, 2016 1:00 PM",at Saints,Lions,-6.5,53.5,220,-270,2016,Saints,Lions,True,2016-12-04,NO,DET
63,"December 4, 2016 1:00 PM",at Packers,Texans,-6.5,44.5,241,-307,2016,Packers,Texans,True,2016-12-04,GB,HOU
64,"December 4, 2016 1:00 PM",at Falcons,Chiefs,-5.0,50.0,187,-217,2016,Falcons,Chiefs,True,2016-12-04,ATL,KC
65,"December 4, 2016 1:00 PM",at Patriots,Rams,-13.0,44.5,600,-900,2016,Patriots,Rams,True,2016-12-04,NE,LAR
66,"December 4, 2016 1:00 PM",at Ravens,Dolphins,-3.5,41.5,160,-180,2016,Ravens,Dolphins,True,2016-12-04,BAL,MIA
67,"December 4, 2016 1:00 PM",at Bengals,Eagles,-1.5,42.0,105,-125,2016,Bengals,Eagles,True,2016-12-04,CIN,PHI
68,"December 4, 2016 1:00 PM",49ers,at Bears,-1.0,44.0,-120,100,2016,Bears,49ers,False,2016-12-04,CHI,SF
69,"December 4, 2016 4:05 PM",at Raiders,Bills,-3.0,48.5,145,-165,2016,Raiders,Bills,True,2016-12-04,LV,BUF
70,"December 4, 2016 4:25 PM",at Chargers,Buccaneers,-3.5,49.0,155,-175,2016,Chargers,Buccaneers,True,2016-12-04,LAC,TB
71,"December 4, 2016 4:25 PM",at Cardinals,Commanders,-2.5,48.5,115,-135,2016,Cardinals,Commanders,True,2016-12-04,ARI,WAS
72,"December 4, 2016 4:25 PM",at Steelers,Giants,-6.5,50.0,230,-300,2016,Steelers,Giants,True,2016-12-04,PIT,NYG
73,"December 4, 2016 8:30 PM",at Seahawks,Panthers,-8.0,43.5,300,-380,2016,Seahawks,Panthers,True,2016-12-04,SEA,CAR
74,"December 5, 2016 8:30 PM",at Jets,Colts,-1.5,48.5,100,-125,2016,Jets,Colts,True,2016-12-05,NYJ,IND
75,"December 8, 2016 8:25 PM",at Chiefs,Raiders,-3.5,46.0,163,-200,2016,Chiefs,Raiders,True,2016-12-08,KC,LV
76,"December 11, 2016 1:00 PM",Vikings,at Jaguars,-3.0,38.0,-188,150,2016,Jaguars,Vikings,False,2016-12-11,JAX,MIN
